archivo,ciclo,tipo,proceso,fecha_examen,familia,paginas,modalidad,condiciones,bytes,sha256,origen,ruta,estado
RESULT_BECA_ESPERANZA2026.pdf,2026,beca,RESULTADOS EXAMEN DE ADMISION 2026 - BECA ESPERANZA JOVEN,15/03/2026,DEVEXP,4,,NC,99235,ff8b5611fda0f118,web,data/raw/2026/RESULT_BECA_ESPERANZA2026.pdf,ok
RESULT_BECA_ESPERANZA_COMUNIDADES2026.pdf,2026,beca,RESULTADOS EXAMEN DE ADMISION 2026 - BECA ESPERANZA JOVEN - COMUNIDADES,15/03/2026,DEVEXP,1,,NSP|NC,73519,7792318eac63c04b,web,data/raw/2026/RESULT_BECA_ESPERANZA_COMUNIDADES2026.pdf,ok
RESULT_BECA_TISUR2026.pdf,2026,beca,RESULTADOS EXAMEN DE ADMISION 2026 - BECA TISUR,15/03/2026,DEVEXP,1,,NSP|NC,68976,69bc3ff8de667f1f,web,data/raw/2026/RESULT_BECA_TISUR2026.pdf,ok
RESULT_EGEDS2026III.pdf,2026,distancia,TERCER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2026 - ORDINARIO III,15/03/2026,DEVEXP,40,,INGRESO|NSP|NC,157309,c1ed9288673fe1e6,web,data/raw/2026/RESULT_EGEDS2026III.pdf,ok
Resultados_2026_IEOE.pdf,2026,ordinario,PRIMER EXAMEN ORDINARIO ESPECIAL 2026,19/04/2026,DEVEXP,11,,INGRESO|NSP|NC,149045,6f6320c779fe87a5,web,data/raw/2026/Resultados_2026_IEOE.pdf,ok
EG2026II.pdf,2026,ordinario,SEGUNDO EXAMEN ORDINARIO 2026,21/12/2025,DEVEXP,56,PRIMERA POSTULACION,INGRESO|NSP|NC,254330,fdbe1adadc6a4d43,wayback,data/raw/2026/EG2026II.pdf,ok
EG2026I.pdf,2026,ordinario,PRIMER EXAMEN ORDINARIO 2026,24/08/2025,DEVEXP,52,PRIMERA POSTULACION,INGRESO|NSP|NC,248741,67d09b91aaaa89b4,sondeo,data/raw/2026/EG2026I.pdf,ok
EDYS2026OII.pdf,2026,distancia,SEGUNDO EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2026 - ORDINARIO II,25/01/2026,DEVEXP,30,,INGRESO|NSP|NC,135316,99d6e765b3db5d66,web,data/raw/2026/EDYS2026OII.pdf,ok
2026CCI-I.pdf,2026,convenio_cci,EXAMEN EXTRAORDINARIO 2026 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,27/04/2025,DEVEXP,21,,NSP|NC,117142,8a373e6c9a2c21e0,sondeo,data/raw/2026/2026CCI-I.pdf,ok
2026CCI-I_medicina.pdf,2026,convenio_cci,EXAMEN EXTRAORDINARIO 2026 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,27/04/2025,DEVEXP,2,NO INGRESO,INGRESO|NO INGRESO|NSP|NC,80288,280f5d7423a8fe88,sondeo,data/raw/2026/2026CCI-I_medicina.pdf,ok
RESULT_EXTRAORDINARIO_2027.pdf,2027,extraordinario,EXAMEN EXTRAORDINARIO ESPECIAL 2027 - DEPORTISTA DESTACADO I,05/07/2026,DEVEXP,1,,INGRESO|NSP|NC,116936,88e8a6b0f1f3a6b9,web,data/raw/2027/RESULT_EXTRAORDINARIO_2027.pdf,ok
RESULT_ORDINARIO_2027.pdf,2027,ordinario,PRIMER EXAMEN ORDINARIO ESPECIAL 2027 - PRIMERA POSTULACION,06/07/2026,DEVEXP,27,,INGRESO|NSP|NC,184548,51c5a5de439fe48e,web,data/raw/2027/RESULT_ORDINARIO_2027.pdf,ok
RESULT_RENDIMIENTO_SUP.pdf,2027,rendimiento_superior,EXAMEN EXTRAORDINARIO 2027 I - RENDIMIENTO SUPERIOR - AREQUIPA,06/07/2026,DEVEXP,66,,NSP|NC,354959,e6c8fba8f6ea0e27,web,data/raw/2027/RESULT_RENDIMIENTO_SUP.pdf,ok
Resultados_Final_Preca2027-I.pdf,2027,precatolica,PRECATOLICA 2027-I,09/08/2026,DEVEXP,53,PRIMERA POSTULACION,INGRESO|NSP|NC,255145,36d2cf25719bd1c0,web,data/raw/2027/Resultados_Final_Preca2027-I.pdf,ok
Resultados_Final_Primer_Exa_General2027.pdf,2027,ordinario,PRIMER EXAMEN ORDINARIO 2027,23/08/2026,DEVEXP,56,PRIMERA POSTULACION,INGRESO|NSP|NC,293086,dd6b74b096bd5cab,sondeo,data/raw/2027/Resultados_Final_Primer_Exa_General2027.pdf,ok
RESULT_2027_CCI.pdf,2027,convenio_cci,EXAMEN EXTRAORDINARIO 2027 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,26/04/2026,DEVEXP,27,,NSP|NC,294564,00b80ce71ca001e3,web,data/raw/2027/RESULT_2027_CCI.pdf,ok
