archivo,ciclo,tipo,proceso,fecha_examen,paginas,ruta,paginas_texto,familia,condiciones,columnas,n_puntajes,n_codigos,n_nombres,n_cortes,utilidad
precatolica2024-I.pdf,2024,precatolica,PRECATOLICA 2024-I,14/08/2023,67,data/raw/2024/precatolica2024-I.pdf,67,DEVEXP,INGRESO|NC|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,4564,1594,2525,50,con_denominador
precatolica2024-II.pdf,2024,precatolica,PRECATOLICA 2024-II,03/12/2023,66,data/raw/2024/precatolica2024-II.pdf,66,DEVEXP,INGRESO|NC|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,3885,1349,2428,52,con_denominador
precatolica2024-III.pdf,2024,precatolica,PRECATOLICA 2024-III,11/02/2024,64,data/raw/2024/precatolica2024-III.pdf,64,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,3427,0,2059,54,con_denominador
2025CCI-I.pdf,2025,convenio_cci,EXAMEN EXTRAORDINARIO 2025 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,26/05/2024,19,data/raw/2025/2025CCI-I.pdf,19,DEVEXP,INGRESO,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,162,0,60,0,solo_ingresantes
2025CCI-I_medicina.pdf,2025,convenio_cci,EXAMEN EXTRAORDINARIO 2025 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,26/05/2024,2,data/raw/2025/2025CCI-I_medicina.pdf,2,DEVEXP,INGRESO|NO INGRESO,Condición|Código|Nombre|Ord.|Total,58,0,97,0,con_denominador
Aptos2025CCI.pdf,2025,convenio_cci,,,2,data/raw/2025/Aptos2025CCI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
Aptos2025RS.pdf,2025,lista_aptos,,,10,data/raw/2025/Aptos2025RS.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
Beca_Esperanza_2025.pdf,2025,beca,RESULTADOS EXAMEN DE ADMISION 2025 - BECA ESPERANZA JOVEN,24/03/2025,20,data/raw/2025/Beca_Esperanza_2025.pdf,20,DEVEXP,NC|NSP,Condición|Nombre|Ord.|Total,846,0,1884,0,puntajes_sin_condicion
DISTANCIA_E2025I.pdf,2025,distancia,PRIMER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2025 - ORDINARIO I,27/10/2024,15,data/raw/2025/DISTANCIA_E2025I.pdf,15,DEVEXP,INGRESO|NC|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,134,136,142,0,con_denominador
DISTANCIA_E2025II.pdf,2025,distancia,SEGUNDO EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2025 - ORDINARIO II,26/01/2025,22,data/raw/2025/DISTANCIA_E2025II.pdf,22,DEVEXP,INGRESO|NC|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,229,244,279,0,con_denominador
DISTANCIA_E2025III.pdf,2025,distancia,TERCER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2025 - ORDINARIO III,23/03/2025,16,data/raw/2025/DISTANCIA_E2025III.pdf,16,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Nombre|Ord.|Total,227,0,246,0,con_denominador
DISTANCIA_E2025III_EXTRA.pdf,2025,distancia,TERCER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2025 - TRASLADO EXTERNO NACIONAL III,23/03/2025,9,data/raw/2025/DISTANCIA_E2025III_EXTRA.pdf,9,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Nombre|Nota 01|Nota 02|Ord.|Total,47,0,22,0,con_denominador
EG2025I.pdf,2025,ordinario,PRIMER EXAMEN ORDINARIO 2025,25/08/2024,64,data/raw/2025/EG2025I.pdf,64,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,4683,0,2189,52,con_denominador
